gender,age,state,number_of_referrals,tenure_in_months,phone_service,multiple_lines,internet_service,internet_type,online_security,online_backup,device_protection_plan,premium_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,paperless_billing,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status,value_deal_Deal 1,value_deal_Deal 2,value_deal_Deal 3,value_deal_Deal 4,value_deal_Deal 5,value_deal_No Deal,contract_Month-to-Month,contract_One Year,contract_Two Year,payment_method_Bank Withdrawal,payment_method_Credit Card,payment_method_Mailed Check
1,0.25757575757575757,5,0.4666666666666667,0.7428571428571428,1,0,0,0,0,1,0.0,1.0,1,0,0,1,1,0.5871844660194174,0.0657922841127538,0.0,0.0,0.10787357491856678,0.07957249523038436,1,False,False,False,False,False,True,False,True,False,False,True,False
0,0.40909090909090917,13,0.9333333333333333,0.34285714285714286,1,1,0,0,0,0,0.0,0.0,0,1,1,0,0,0.04660194174757281,0.059915602071270654,0.7732499495662698,10.0,0.02720378664495114,0.049082920635770313,1,False,False,False,False,False,True,True,False,False,False,True,False
1,0.5,22,0.26666666666666666,0.9714285714285714,1,0,0,2,0,0,1.0,0.0,0,0,0,1,1,0.6516504854368932,0.029718230991704536,0.0,0.0,0.03805872240318495,0.03278718690118426,0,False,False,False,False,True,False,True,False,False,True,False,False
1,0.9242424242424243,10,0.2,0.5714285714285714,1,0,0,2,0,1,1.0,0.0,1,1,0,1,1,0.8388349514563106,0.14020908980701624,0.0,0.0,0.10226090300398119,0.13182289231500122,0,False,False,False,True,False,False,True,False,False,True,False,False
0,0.9393939393939394,18,0.2,0.19999999999999998,1,0,0,2,0,0,0.0,1.0,1,0,0,1,1,0.7293203883495145,0.02816535528526154,0.0,0.0,0.006260179153094463,0.022255975924837048,0,False,False,False,False,False,True,True,False,False,False,True,False
1,0.09090909090909094,19,0.6,0.02857142857142857,1,0,0,0,0,0,0.0,1.0,1,1,1,1,1,0.6166990291262135,0.06326958268630181,0.0,0.0,0.042676099348534204,0.058459052400114085,1,False,False,False,False,True,False,True,False,False,False,True,False
0,0.7272727272727273,13,0.6,0.6285714285714286,1,0,0,2,1,1,1.0,1.0,1,1,1,1,1,0.9297087378640776,0.9098812540770205,0.0,0.0,0.19995249728555917,0.7183036980099348,1,True,False,False,False,False,False,False,False,True,True,False,False
1,0.5,6,0.8,0.6571428571428571,1,1,0,2,1,0,0.0,1.0,0,0,0,0,1,0.7351456310679612,0.6181888504678833,0.0,20.0,0.23086319218241044,0.5178058680700475,1,False,True,False,False,False,False,False,False,True,False,True,False
0,0.6818181818181819,6,0.26666666666666666,0.2571428571428571,1,0,0,1,1,0,0.0,0.0,0,0,0,1,1,0.45203883495145636,0.036587829841768324,0.0,0.0,0.02084181596091205,0.03267092621293772,1,False,False,False,False,True,False,False,False,True,True,False,False
0,0.3484848484848485,20,0.2,0.0,1,1,0,0,1,1,1.0,1.0,1,1,1,1,1,0.7801941747572815,0.6851645528699337,0.0,0.0,0.5230670919290626,0.6510891284546779,1,False,False,False,False,False,True,False,False,True,False,True,False
